Interatomic distances:
32 8 8.212972
32 9 5.065180
32 10 7.173034
32 11 6.371077
32 12 7.093205
32 13 5.011405
32 14 4.916094
32 15 7.090231
32 16 2.828614
32 17 7.109352
32 18 4.975726
32 19 7.755071
32 20 2.837622
32 21 9.295855
32 22 2.869453
32 23 7.831238
32 24 7.290198
32 25 8.809075
32 26 4.050019
32 27 7.140794
32 28 4.083223
32 29 6.398828
32 30 5.715368
32 31 9.653271
33 0 5.711896
33 1 7.554983
33 2 4.840357
33 3 5.593923
33 4 7.098057
33 5 8.230557
33 6 4.860819
33 7 8.164006
33 8 2.856306
33 9 6.319687
33 10 4.938689
33 11 4.997192
33 12 6.488528
33 13 7.169842
33 14 7.101770
33 15 4.881663
33 16 7.055543
33 17 2.755902
33 18 4.841267
33 19 7.176605
33 20 9.302570
33 21 2.850011
33 22 7.691614
33 23 2.864734
33 24 4.047704
33 25 4.079542
33 26 7.148458
33 27 7.738403
33 28 8.825500
33 29 9.266106
33 30 9.687019
33 31 5.715654
33 32 9.631880
34 0 7.554989
34 1 5.711889
34 2 5.593926
34 3 4.840355
34 4 8.230566
34 5 7.098057
34 6 8.164009
34 7 4.860816
34 8 6.319692
34 9 2.856299
34 10 4.997199
34 11 4.938694
34 12 7.169844
34 13 6.488537
34 14 7.101771
34 15 7.055543
34 16 4.881663
34 17 4.841267
34 18 2.755905
34 19 9.302578
34 20 7.176606
34 21 7.691614
34 22 2.850011
34 23 4.047704
34 24 2.864734
34 25 7.148455
34 26 4.079549
34 27 8.825504
34 28 7.738408
34 29 9.687024
34 30 9.266108
34 31 9.631880
34 32 5.715655
34 33 6.304702
35 0 7.558680
35 1 5.695101
35 2 5.595724
35 3 4.824045
35 4 8.155348
35 5 7.163880
35 6 6.315787
35 7 7.085921
35 8 4.946921
35 9 4.859858
35 10 2.850937
35 11 6.420371
35 12 5.053057
35 13 8.232971
35 14 7.091416
35 15 4.869788
35 16 7.050677
35 17 2.758899
35 18 4.838644
35 19 7.711154
35 20 8.845039
35 21 4.021826
35 22 7.144907
35 23 4.084945
35 24 2.833590
35 25 2.875829
35 26 7.707842
35 27 7.177553
35 28 9.268734
35 29 9.662219
35 30 9.267630
35 31 6.343017
35 32 9.218120
35 33 2.762893
35 34 5.677037
36 0 5.695101
36 1 7.558680
36 2 4.824045
36 3 5.595724
36 4 7.163885
36 5 8.155349
36 6 7.085921
36 7 6.315787
36 8 4.859858
36 9 4.946921
36 10 6.420384
36 11 2.850939
36 12 8.232975
36 13 5.053059
36 14 7.091416
36 15 7.050681
36 16 4.869791
36 17 4.838644
36 18 2.758899
36 19 8.845045
36 20 7.711153
36 21 7.144910
36 22 4.021832
36 23 2.833593
36 24 4.084954
36 25 7.707842
36 26 2.875829
36 27 9.268739
36 28 7.177554
36 29 9.267633
36 30 9.662221
36 31 9.218120
36 32 6.343017
36 33 5.677040
36 34 2.762903
36 35 6.322536
37 0 7.587755
37 1 5.725781
37 2 5.606349
37 3 4.830265
37 4 6.291980
37 5 5.005421
37 6 4.971906
37 7 7.164322
37 8 6.496183
37 9 7.126333
